sample	batch		value
32152211_EXO_S35	180322-190603	readsAdapterNotFoundPerc	3.24256863495192
32151109_EXO_S17	180322-190603	readsAdapterNotFoundPerc	3.02481454489245
32152477_EXO_S29	180322-190603	readsAdapterNotFoundPerc	3.33264364361961
32151201_EXO_S23	180322-190603	readsAdapterNotFoundPerc	2.83641519653514
32141753_EXO_S10	180322-190603	readsAdapterNotFoundPerc	3.783664118035
32150101_EXO_S3	180322-190603	readsAdapterNotFoundPerc	4.18210485315954
32151828_EXO_S15	180322-190603	readsAdapterNotFoundPerc	3.48935346780927
32152118_EXO_S1	180322-190603	readsAdapterNotFoundPerc	4.4833504515812
32151204_EXO_S9	180322-190603	readsAdapterNotFoundPerc	3.17724904301699
32151684_EXO_S13	180322-190603	readsAdapterNotFoundPerc	2.96403596271167
32150228_EXO_S18	180322-190603	readsAdapterNotFoundPerc	3.04674479051241
32152206_EXO_S33	180322-190603	readsAdapterNotFoundPerc	4.65999759175458
32151642_EXO_S5	180322-190603	readsAdapterNotFoundPerc	4.02840224495821
32151157_EXO_S31	180322-190603	readsAdapterNotFoundPerc	3.74966419957903
32151086_EXO_S6	180322-190603	readsAdapterNotFoundPerc	3.27772471181494
32150688_EXO_S20	180322-190603	readsAdapterNotFoundPerc	3.32022711498742
32151947_EXO_S11	180322-190603	readsAdapterNotFoundPerc	2.83694147515942
32151680_EXO_S22	180322-190603	readsAdapterNotFoundPerc	2.94976603310412
32150301_EXO_S14	180322-190603	readsAdapterNotFoundPerc	3.55386269019596
32150744_EXO_S30	180322-190603	readsAdapterNotFoundPerc	4.60418985026448
32160475_EXO_S26	180626-180628-190531	readsAdapterNotFoundPerc	0.837713091612446
32161242_EXO_S7	180626-180628-190531	readsAdapterNotFoundPerc	0.830916644370593
32160187_EXO_S9	180626-180628-190531	readsAdapterNotFoundPerc	1.4769182248879
32160696_EXO_S3	180626-180628-190531	readsAdapterNotFoundPerc	1.24832934836993
32151244_EXO_S30	180626-180628-190531	readsAdapterNotFoundPerc	0.640619397730512
32161406_EXO_S4	180626-180628-190531	readsAdapterNotFoundPerc	1.15923364256706
